Make,Model,Body Type,Engine Type,Tyres,Headlights,Colours Available,Year Introduced,Notes,Image Path
Abarth,Abarth Model 1,SUV,Petrol,215/55 R17,Halogen,Metallic Blue; Green; Orange,2019,Standard trim,
Land Rover,Land Rover Model 131,Roadster,V6,275/40 R21,LED,Brown; Green; Blue,2018,Standard trim,
Land Rover,Land Rover Model 132,Sedan,Electric,265/65 R17,Matrix LED,Metallic Grey; White; Green,2010,Standard trim,
Land Rover,Land Rover Model 133,Convertible,V6,265/65 R17,LED,Blue; Metallic Silver; Gold,2008,Standard trim,
Land Rover,Land Rover Model 134,Coupe,V6,225/45 R18,Matrix LED,Red; Metallic Silver; Green,2019,Standard trim,
Land Rover,Land Rover Model 135,Pick-up,Turbo Petrol,265/65 R17,Laser,Orange; Metallic Grey; Red,2012,Standard trim,
Land Rover,Land Rover Model 136,Hatchback,Hybrid,275/40 R21,LED,White; Metallic Blue; Brown,2008,Standard trim,
Land Rover,Land Rover Model 137,Convertible,Diesel,225/45 R18,Matrix LED,Metallic Blue; Metallic Grey; Yellow,2013,Standard trim,
Land Rover,Land Rover Model 138,Pick-up,Turbo Petrol,245/40 R20,LED,Metallic Grey; Brown; Beige,2019,Standard trim,
Land Rover,Land Rover Model 139,Sedan,Hybrid,265/65 R17,LED,Metallic Silver; Grey; Brown,2008,Standard trim,
Land Rover,Land Rover Model 140,Roadster,V6,245/40 R20,Halogen,Brown; Metallic Grey; Orange,2005,Standard trim,
Land Rover,Land Rover Model 141,SUV,Hybrid,215/55 R17,Matrix LED,Yellow; Black; Blue,2009,Standard trim,
Land Rover,Land Rover Model 142,Hatchback,Diesel,265/65 R17,Laser,White; Black; Brown,2024,Standard trim,
Land Rover,Land Rover Model 143,Pick-up,V6,205/55 R16,Matrix LED,Green; Black; Gold,2005,Standard trim,
Land Rover,Land Rover Model 144,Convertible,Hybrid,265/65 R17,Adaptive LED,Silver; Brown; Red,2018,Standard trim,
Land Rover,Land Rover Model 145,Coupe,V6,245/40 R20,Adaptive LED,Blue; Silver; Orange,2017,Standard trim,
Land Rover,Land Rover Model 146,Pick-up,V6,245/40 R20,Adaptive LED,Black; Yellow; Green,2012,Standard trim,
Land Rover,Land Rover Model 147,Roadster,Turbo Petrol,205/55 R16,Matrix LED,Yellow; Metallic Silver; Orange,2000,Standard trim,
Lexus,Lexus Model 1,Hatchback,V6,275/40 R21,LED,Red; Grey; Blue,2009,Standard trim,
Lexus,Lexus Model 2,Hatchback,Electric,275/40 R21,Adaptive LED,Metallic Grey; Metallic Blue; Green,2020,Standard trim,
Lexus,Lexus Model 3,Sedan,Diesel,225/45 R18,LED,White; Beige; Metallic Blue,2023,Standard trim,
Lexus,Lexus Model 4,SUV,Diesel,235/35 R19,LED,Grey; Metallic Blue; Orange,2002,Standard trim,
Lexus,Lexus Model 5,MPV,Hybrid,205/55 R16,Matrix LED,Grey; Blue; Metallic Silver,2012,Standard trim,
Lexus,Lexus Model 6,Sedan,Turbo Petrol,205/55 R16,Matrix LED,Grey; White; Metallic Silver,2015,Standard trim,
Lexus,Lexus Model 7,Pick-up,V6,225/45 R18,LED,Metallic Silver; Black; White,2010,Standard trim,
Lexus,Lexus Model 8,Sedan,Hybrid,245/40 R20,Adaptive LED,Green; White; Blue,2019,Standard trim,
Lexus,Lexus Model 9,Pick-up,Electric,225/45 R18,Halogen,Black; Beige; Grey,2023,Standard trim,
Lexus,Lexus Model 10,Roadster,Turbo Petrol,235/35 R19,Halogen,Yellow; Red; Metallic Grey,2015,Standard trim,
Lexus,Lexus Model 11,MPV,Diesel,265/65 R17,Adaptive LED,Brown; Yellow; Red,2024,Standard trim,
Lexus,Lexus Model 12,SUV,Petrol,275/40 R21,LED,Grey; Silver; Beige,2000,Standard trim,
Lexus,Lexus Model 13,MPV,V6,225/45 R18,Laser,Black; Gold; Blue,2006,Standard trim,
Lexus,Lexus Model 14,Convertible,Turbo Petrol,275/40 R21,LED,Green; White; Orange,2014,Standard trim,
Lexus,Lexus Model 15,Sedan,Turbo Petrol,275/40 R21,Halogen,Metallic Silver; Grey; Brown,2012,Standard trim,
Lexus,Lexus Model 16,Roadster,Hybrid,225/45 R18,LED,Red; Silver; White,2005,Standard trim,
Lexus,Lexus Model 17,Roadster,Turbo Petrol,265/65 R17,Halogen,Metallic Blue; Metallic Grey; Silver,2014,Standard trim,
Lexus,Lexus Model 18,SUV,V6,225/45 R18,Halogen,White; Black; Metallic Blue,2022,Standard trim,
Lexus,Lexus Model 19,SUV,Electric,245/40 R20,Halogen,Brown; Black; Blue,2008,Standard trim,
Lexus,Lexus Model 20,SUV,V8,265/65 R17,Adaptive LED,Metallic Blue; Grey; Blue,2016,Standard trim,
Lexus,Lexus Model 21,Roadster,V8,245/40 R20,Laser,Red; Metallic Silver; Blue,2011,Standard trim,
Lexus,Lexus Model 22,SUV,Turbo Petrol,275/40 R21,LED,Beige; Brown; Yellow,2006,Standard trim,
Lexus,Lexus Model 23,SUV,Electric,265/65 R17,Halogen,Orange; Yellow; Brown,2003,Standard trim,
Mahindra,Mahindra Model 1,Roadster,Diesel,235/35 R19,Halogen,Yellow; Metallic Blue; Black,2004,Standard trim,
Mahindra,Mahindra Model 2,Coupe,V6,235/35 R19,Adaptive LED,Blue; Beige; Metallic Blue,2019,Standard trim,
Mahindra,Mahindra Model 3,MPV,Turbo Petrol,245/40 R20,LED,Grey; Blue; Red,2013,Standard trim,
Mahindra,Mahindra Model 4,Pick-up,V8,225/45 R18,Halogen,Silver; Metallic Blue; Metallic Grey,2014,Standard trim,
Mahindra,Mahindra Model 5,Sedan,Turbo Petrol,235/35 R19,Matrix LED,Silver; Yellow; Gold,2015,Standard trim,
Mahindra,Mahindra Model 6,Convertible,V6,205/55 R16,Laser,White; Blue; Black,2012,Standard trim,
Mahindra,Mahindra Model 7,Coupe,V8,275/40 R21,Halogen,Metallic Grey; White; Red,2016,Standard trim,
Mahindra,Mahindra Model 8,SUV,Electric,245/40 R20,Halogen,Metallic Silver; Orange; Gold,2000,Standard trim,
Mahindra,Mahindra Model 9,Coupe,V6,265/65 R17,Halogen,Black; Orange; Metallic Silver,2016,Standard trim,
Mahindra,Mahindra Model 10,SUV,Electric,225/45 R18,Matrix LED,Metallic Silver; Black; Blue,2012,Standard trim,
Mahindra,Mahindra Model 11,Sedan,Turbo Petrol,215/55 R17,Matrix LED,Metallic Silver; Metallic Blue; Yellow,2018,Standard trim,
Mahindra,Mahindra Model 12,Coupe,Electric,235/35 R19,Halogen,Red; Orange; White,2013,Standard trim,
Mahindra,Mahindra Model 13,Hatchback,Turbo Petrol,215/55 R17,Adaptive LED,Red; Orange; Grey,2013,Standard trim,
Mahindra,Mahindra Model 14,Convertible,V6,245/40 R20,Matrix LED,Metallic Blue; Black; Grey,2004,Standard trim,
Mahindra,Mahindra Model 15,Hatchback,V6,245/40 R20,Halogen,Black; Brown; Metallic Silver,2001,Standard trim,
Mahindra,Mahindra Model 16,Coupe,Diesel,205/55 R16,Matrix LED,Blue; Black; Gold,2018,Standard trim,
Mahindra,Mahindra Model 17,MPV,Turbo Petrol,215/55 R17,Laser,Metallic Blue; Brown; White,2017,Standard trim,
Mahindra,Mahindra Model 18,Roadster,Petrol,225/45 R18,LED,Metallic Blue; Brown; Orange,2008,Standard trim,
Mahindra,Mahindra Model 19,Sedan,Turbo Petrol,245/40 R20,Matrix LED,Black; Metallic Silver; Silver,2007,Standard trim,
Mahindra,Mahindra Model 20,Convertible,V8,235/35 R19,Halogen,Orange; Metallic Grey; Metallic Silver,2014,Standard trim,
Mahindra,Mahindra Model 21,Convertible,Electric,205/55 R16,Adaptive LED,Metallic Silver; Metallic Grey; Metallic Blue,2005,Standard trim,
Mahindra,Mahindra Model 22,Hatchback,V6,205/55 R16,Matrix LED,Metallic Blue; White; Metallic Silver,2019,Standard trim,
Mahindra,Mahindra Model 23,MPV,Petrol,225/45 R18,Laser,Metallic Blue; Metallic Grey; Blue,2010,Standard trim,
Mahindra,Mahindra Model 24,Coupe,Turbo Petrol,225/45 R18,Matrix LED,Orange; Metallic Grey; Grey,2002,Standard trim,
Mahindra,Mahindra Model 25,Coupe,Hybrid,245/40 R20,Laser,Silver; Red; Green,2008,Standard trim,
Mahindra,Mahindra Model 26,SUV,V6,205/55 R16,Laser,Metallic Silver; Silver; Metallic Blue,2014,Standard trim,
Mahindra,Mahindra Model 27,MPV,Electric,245/40 R20,Matrix LED,Black; Blue; Beige,2013,Standard trim,
Mahindra,Mahindra Model 28,Hatchback,Diesel,205/55 R16,LED,Yellow; Metallic Silver; Metallic Blue,2008,Standard trim,
Mahindra,Mahindra Model 29,Pick-up,Hybrid,265/65 R17,Adaptive LED,Beige; Metallic Silver; Metallic Grey,2024,Standard trim,
Mahindra,Mahindra Model 30,Pick-up,Electric,215/55 R17,Matrix LED,Blue; Yellow; Gold,2001,Standard trim,
Mahindra,Mahindra Model 31,Pick-up,Petrol,215/55 R17,Halogen,Green; Beige; Yellow,2022,Standard trim,
Mahindra,Mahindra Model 32,Hatchback,Diesel,245/40 R20,LED,Green; Beige; Silver,2007,Standard trim,
Mahindra,Mahindra Model 33,Pick-up,Diesel,275/40 R21,Matrix LED,Green; Metallic Blue; Blue,2009,Standard trim,
Mahindra,Mahindra Model 34,Coupe,Petrol,205/55 R16,LED,Beige; Silver; Red,2000,Standard trim,
Mahindra,Mahindra Model 35,Hatchback,Electric,205/55 R16,Adaptive LED,Metallic Grey; Red; White,2006,Standard trim,
Mahindra,Mahindra Model 36,SUV,Electric,225/45 R18,Matrix LED,Metallic Blue; Silver; Brown,2001,Standard trim,
Mahindra,Mahindra Model 37,MPV,Diesel,245/40 R20,Matrix LED,Yellow; Beige; Metallic Blue,2024,Standard trim,
Mahindra,Mahindra Model 38,Coupe,Petrol,225/45 R18,Laser,Red; Black; Silver,2014,Standard trim,
Mahindra,Mahindra Model 39,SUV,V6,235/35 R19,Halogen,Silver; Beige; Metallic Blue,2011,Standard trim,
Mahindra,Mahindra Model 40,Roadster,Diesel,235/35 R19,LED,Silver; Orange; Gold,2018,Standard trim,
Mahindra,Mahindra Model 41,Hatchback,Petrol,225/45 R18,Matrix LED,White; Beige; Red,2019,Standard trim,
Mahindra,Mahindra Model 42,Hatchback,Petrol,205/55 R16,Matrix LED,Orange; Silver; Yellow,2015,Standard trim,
Mahindra,Mahindra Model 43,MPV,V6,265/65 R17,Laser,Metallic Grey; Metallic Silver; Orange,2018,Standard trim,
Mahindra,Mahindra Model 44,Sedan,V6,225/45 R18,LED,Black; Metallic Grey; Metallic Silver,2010,Standard trim,
Mahindra,Mahindra Model 45,SUV,Petrol,205/55 R16,LED,Green; Grey; Brown,2005,Standard trim,
Mazda,Mazda Model 1,SUV,Electric,245/40 R20,Matrix LED,Metallic Grey; Yellow; Green,2020,Standard trim,
Mazda,Mazda Model 2,Coupe,V8,275/40 R21,LED,Grey; Brown; Blue,2016,Standard trim,
Mazda,Mazda Model 3,Coupe,Turbo Petrol,215/55 R17,Adaptive LED,Beige; Grey; Metallic Grey,2013,Standard trim,
Mazda,Mazda Model 4,Hatchback,Turbo Petrol,275/40 R21,Laser,Metallic Silver; Yellow; Red,2004,Standard trim,
Mazda,Mazda Model 5,Sedan,Electric,215/55 R17,LED,Orange; Gold; Brown,2017,Standard trim,
Mazda,Mazda Model 6,Coupe,V6,235/35 R19,Adaptive LED,Orange; Metallic Blue; Gold,2015,Standard trim,
Mazda,Mazda Model 7,Roadster,Turbo Petrol,225/45 R18,Laser,Beige; Silver; Metallic Grey,2001,Standard trim,
Mazda,Mazda Model 8,Convertible,Petrol,205/55 R16,LED,Metallic Blue; Beige; Black,2024,Standard trim,
Mazda,Mazda Model 9,Coupe,V8,205/55 R16,Halogen,Brown; Gold; Orange,2010,Standard trim,
Mazda,Mazda Model 10,Convertible,Petrol,235/35 R19,Matrix LED,Brown; White; Metallic Blue,2000,Standard trim,
Mazda,Mazda Model 11,Coupe,Electric,225/45 R18,Adaptive LED,Metallic Silver; Grey; White,2016,Standard trim,
Mazda,Mazda Model 12,SUV,V8,225/45 R18,Laser,Red; Yellow; Grey,2006,Standard trim,
Mazda,Mazda Model 13,Hatchback,Petrol,275/40 R21,Matrix LED,Brown; Green; Grey,2002,Standard trim,
Mazda,Mazda Model 14,Convertible,Diesel,245/40 R20,Laser,Blue; Beige; Orange,2007,Standard trim,
Mazda,Mazda Model 15,SUV,Diesel,235/35 R19,LED,Yellow; Grey; Red,2018,Standard trim,
Mazda,Mazda Model 16,Coupe,Electric,205/55 R16,Halogen,Metallic Blue; Black; Blue,2023,Standard trim,
Mazda,Mazda Model 17,SUV,Petrol,205/55 R16,Matrix LED,Gold; White; Metallic Silver,2013,Standard trim,
Mazda,Mazda Model 18,Convertible,Turbo Petrol,245/40 R20,Halogen,Beige; Blue; Silver,2004,Standard trim,
Mazda,Mazda Model 19,SUV,V8,265/65 R17,Matrix LED,Grey; Green; Gold,2001,Standard trim,
Mazda,Mazda Model 20,Pick-up,Electric,235/35 R19,Matrix LED,Grey; Brown; Black,2021,Standard trim,
Mazda,Mazda Model 21,SUV,Diesel,245/40 R20,Laser,Gold; Red; Metallic Blue,2003,Standard trim,
Mazda,Mazda Model 22,Coupe,Petrol,215/55 R17,Laser,Metallic Grey; Grey; Black,2007,Standard trim,
Mazda,Mazda Model 23,SUV,Petrol,275/40 R21,Laser,White; Beige; Black,2020,Standard trim,
Mazda,Mazda Model 24,Coupe,Hybrid,205/55 R16,LED,Black; Yellow; White,2008,Standard trim,
Mazda,Mazda Model 25,Sedan,V6,225/45 R18,Matrix LED,Metallic Blue; White; Grey,2017,Standard trim,
Mazda,Mazda Model 26,Roadster,Petrol,215/55 R17,Matrix LED,Orange; Metallic Grey; Silver,2023,Standard trim,
Mazda,Mazda Model 27,Coupe,Hybrid,205/55 R16,Matrix LED,Metallic Grey; Silver; Yellow,2002,Standard trim,
Mazda,Mazda Model 28,MPV,Turbo Petrol,245/40 R20,Matrix LED,Yellow; Blue; Green,2019,Standard trim,
Mazda,Mazda Model 29,Convertible,Turbo Petrol,225/45 R18,LED,Green; Metallic Grey; Silver,2007,Standard trim,
Mazda,Mazda Model 30,Sedan,Hybrid,235/35 R19,Adaptive LED,Red; Silver; Grey,2020,Standard trim,
Mazda,Mazda Model 31,MPV,Hybrid,205/55 R16,Halogen,Brown; Orange; Metallic Silver,2014,Standard trim,
Mazda,Mazda Model 32,Coupe,Petrol,235/35 R19,Halogen,Gold; Green; Brown,2012,Standard trim,
Mazda,Mazda Model 33,Sedan,V6,265/65 R17,LED,Green; Orange; Grey,2007,Standard trim,
Mazda,Mazda Model 34,SUV,Diesel,205/55 R16,Matrix LED,Red; Orange; Metallic Blue,2014,Standard trim,
Mazda,Mazda Model 35,Convertible,V8,245/40 R20,LED,Silver; Gold; Brown,2001,Standard trim,
Mazda,Mazda Model 36,SUV,V6,225/45 R18,Adaptive LED,Brown; Grey; Silver,2010,Standard trim,
Mazda,Mazda Model 37,Hatchback,Turbo Petrol,215/55 R17,Laser,Black; Yellow; Blue,2009,Standard trim,
Mazda,Mazda Model 38,Roadster,Electric,215/55 R17,LED,Beige; Blue; Grey,2000,Standard trim,
Mazda,Mazda Model 39,Pick-up,V6,225/45 R18,Halogen,White; Green; Blue,2023,Standard trim,
Mazda,Mazda Model 40,SUV,V8,265/65 R17,Halogen,Orange; Yellow; Metallic Blue,2020,Standard trim,
Mazda,Mazda Model 41,Hatchback,Electric,205/55 R16,Matrix LED,Black; White; Red,2008,Standard trim,
Mazda,Mazda Model 42,MPV,Turbo Petrol,235/35 R19,Laser,Metallic Blue; Yellow; Orange,2019,Standard trim,
Mazda,Mazda Model 43,Coupe,Electric,265/65 R17,Matrix LED,Beige; Blue; Orange,2020,Standard trim,
McLaren,McLaren Model 1,Sedan,Diesel,275/40 R21,Matrix LED,Red; Grey; Green,2010,Standard trim,
McLaren,McLaren Model 2,Sedan,Turbo Petrol,245/40 R20,Matrix LED,Brown; Black; Metallic Grey,2005,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 1,Sedan,V8,235/35 R19,Adaptive LED,Metallic Grey; Beige; Orange,2013,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 2,Coupe,Diesel,215/55 R17,Laser,Yellow; Green; Orange,2010,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 3,Hatchback,V6,225/45 R18,Laser,White; Yellow; Red,2016,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 4,Hatchback,V6,205/55 R16,Matrix LED,Metallic Blue; Black; Yellow,2012,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 5,Sedan,V6,215/55 R17,Laser,Brown; Metallic Blue; Metallic Silver,2007,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 6,Hatchback,Electric,225/45 R18,Laser,Brown; Blue; Orange,2024,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 7,MPV,V8,235/35 R19,LED,Silver; Beige; Green,2006,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 8,Roadster,Diesel,245/40 R20,Adaptive LED,Metallic Silver; Black; Beige,2000,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 9,Roadster,Turbo Petrol,275/40 R21,Adaptive LED,Blue; Metallic Silver; Orange,2016,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 10,Coupe,V6,265/65 R17,Adaptive LED,Grey; Silver; Beige,2000,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 11,SUV,Hybrid,245/40 R20,Laser,Metallic Grey; Green; Metallic Silver,2002,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 12,Convertible,Electric,245/40 R20,Adaptive LED,Metallic Grey; Yellow; Green,2006,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 13,Roadster,Turbo Petrol,275/40 R21,Matrix LED,Brown; Black; Yellow,2019,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 14,MPV,V8,205/55 R16,Adaptive LED,Black; Silver; Beige,2013,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 15,MPV,V8,235/35 R19,Halogen,Metallic Grey; Orange; Metallic Blue,2023,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 16,Hatchback,V6,265/65 R17,Adaptive LED,Blue; Red; Green,2018,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 17,Hatchback,Electric,225/45 R18,Matrix LED,Metallic Grey; Metallic Blue; Blue,2011,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 18,Convertible,Diesel,245/40 R20,Adaptive LED,Blue; Yellow; Orange,2021,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 19,MPV,Electric,215/55 R17,Matrix LED,Brown; Red; Grey,2017,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 20,MPV,Petrol,215/55 R17,Matrix LED,Metallic Grey; Metallic Blue; Beige,2000,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 21,Pick-up,Hybrid,225/45 R18,LED,Silver; Metallic Blue; Brown,2013,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 22,Roadster,Diesel,275/40 R21,Adaptive LED,Beige; Brown; Metallic Grey,2007,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 23,Convertible,Turbo Petrol,225/45 R18,Halogen,Beige; Black; Silver,2005,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 24,Hatchback,Diesel,205/55 R16,Matrix LED,Silver; Black; Metallic Grey,2023,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 25,Convertible,Turbo Petrol,205/55 R16,LED,White; Metallic Blue; Red,2021,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 26,Sedan,Petrol,225/45 R18,Matrix LED,Orange; Green; Brown,2011,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 27,SUV,Turbo Petrol,225/45 R18,Laser,Blue; Metallic Grey; Silver,2007,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 28,Convertible,Petrol,225/45 R18,Matrix LED,Silver; Blue; Metallic Blue,2018,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 29,SUV,Diesel,265/65 R17,Matrix LED,Green; Silver; Orange,2000,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 30,MPV,Petrol,215/55 R17,Matrix LED,Grey; Gold; Brown,2019,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 31,Sedan,Diesel,205/55 R16,LED,Blue; White; Beige,2023,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 32,Coupe,Petrol,265/65 R17,Matrix LED,Orange; Metallic Blue; Metallic Grey,2018,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 33,Coupe,Hybrid,205/55 R16,Adaptive LED,Silver; Orange; Green,2017,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 34,MPV,Petrol,265/65 R17,Adaptive LED,Silver; Metallic Grey; Green,2017,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 35,SUV,Petrol,215/55 R17,Halogen,White; Black; Brown,2007,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 36,SUV,Petrol,275/40 R21,Matrix LED,Grey; Red; Metallic Grey,2011,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 37,Sedan,Petrol,205/55 R16,LED,White; Green; Black,2006,Standard trim,
Mercedes-AMG,Mercedes-AMG Model 38,Sedan,Petrol,275/40 R21,Matrix LED,Silver; Yellow; Beige,2009,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 1,Roadster,Diesel,205/55 R16,Matrix LED,Green; Metallic Blue; Yellow,2003,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 2,Roadster,Petrol,205/55 R16,Halogen,Gold; Metallic Grey; Metallic Silver,2015,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 3,Coupe,Turbo Petrol,245/40 R20,Adaptive LED,Yellow; Green; Brown,2009,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 4,SUV,Diesel,235/35 R19,Halogen,Metallic Silver; Metallic Grey; Brown,2022,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 5,Coupe,Hybrid,215/55 R17,Matrix LED,Gold; Grey; Silver,2014,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 6,Hatchback,V6,275/40 R21,Laser,Metallic Silver; Metallic Blue; Green,2002,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 7,MPV,Petrol,245/40 R20,Laser,Grey; Blue; Gold,2022,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 8,Hatchback,V8,275/40 R21,Laser,Yellow; Orange; White,2008,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 9,Roadster,Petrol,265/65 R17,Halogen,Yellow; Metallic Silver; Green,2010,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 10,SUV,Petrol,275/40 R21,LED,Brown; Green; Blue,2011,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 11,Roadster,V6,245/40 R20,Adaptive LED,Metallic Grey; Silver; Green,2012,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 12,SUV,Diesel,225/45 R18,Adaptive LED,Yellow; Green; Red,2014,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 13,Roadster,Electric,265/65 R17,Laser,Black; White; Red,2001,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 14,Convertible,Diesel,215/55 R17,LED,Gold; Beige; Red,2000,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 15,Sedan,V8,235/35 R19,Adaptive LED,Brown; Silver; Grey,2011,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 16,Sedan,V6,235/35 R19,Adaptive LED,Grey; Black; Yellow,2007,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 17,Convertible,Electric,225/45 R18,Halogen,Brown; Metallic Blue; Red,2001,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 18,Sedan,Petrol,275/40 R21,LED,Metallic Blue; Silver; Grey,2023,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 19,Pick-up,Petrol,215/55 R17,Laser,White; Yellow; Metallic Silver,2011,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 20,SUV,Hybrid,265/65 R17,Laser,Blue; Metallic Silver; Yellow,2015,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 21,Hatchback,V8,245/40 R20,Matrix LED,Blue; Orange; Metallic Silver,2001,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 22,Coupe,Hybrid,225/45 R18,Matrix LED,Green; White; Silver,2021,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 23,Sedan,Electric,215/55 R17,Adaptive LED,White; Brown; Blue,2014,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 24,SUV,Diesel,225/45 R18,Adaptive LED,Metallic Grey; Gold; Brown,2020,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 25,Pick-up,V6,235/35 R19,Halogen,Gold; Grey; Red,2015,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 26,Convertible,V6,225/45 R18,Laser,Gold; Metallic Grey; Silver,2002,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 27,Pick-up,Diesel,235/35 R19,Matrix LED,Yellow; Metallic Silver; White,2005,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 28,Coupe,Hybrid,215/55 R17,Halogen,Green; Red; Black,2001,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 29,MPV,Electric,225/45 R18,Laser,Black; Blue; Metallic Silver,2009,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 30,Hatchback,Diesel,245/40 R20,Laser,Metallic Grey; Beige; Green,2022,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 31,Roadster,Petrol,245/40 R20,Halogen,White; Green; Yellow,2013,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 32,Pick-up,Petrol,215/55 R17,Halogen,Black; Brown; Grey,2012,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 33,Pick-up,Diesel,225/45 R18,Adaptive LED,Blue; Gold; Metallic Grey,2002,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 34,SUV,Turbo Petrol,215/55 R17,Halogen,Metallic Blue; Silver; Brown,2014,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 35,Convertible,Petrol,205/55 R16,LED,Red; Green; Metallic Grey,2023,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 36,SUV,Electric,275/40 R21,Matrix LED,Metallic Grey; Brown; Green,2015,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 37,Sedan,Electric,275/40 R21,Adaptive LED,Metallic Silver; Yellow; Black,2013,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 38,Convertible,Hybrid,245/40 R20,Laser,Orange; Metallic Silver; Metallic Blue,2007,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 39,SUV,Turbo Petrol,265/65 R17,Laser,Metallic Grey; Brown; Silver,2024,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 40,Sedan,Hybrid,235/35 R19,Adaptive LED,Metallic Grey; Beige; Gold,2009,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 41,Convertible,Petrol,225/45 R18,Adaptive LED,Black; Metallic Silver; White,2019,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 42,MPV,V6,245/40 R20,LED,Brown; Green; Metallic Grey,2006,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 43,Coupe,V6,225/45 R18,Adaptive LED,Gold; Brown; Beige,2001,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 44,Sedan,Petrol,225/45 R18,LED,Yellow; Beige; Metallic Silver,2009,Standard trim,
Mercedes-Benz,Mercedes-Benz Model 45,Convertible,Electric,235/35 R19,LED,Orange; Grey; Green,2010,Standard trim,
